round_number,round_name,coder,unit_id,unit_text,theme,code,scope,start_offset,end_offset,quote,memo,created_at,account,account_confidence,account_duration,account_suspension,accountsOrder,aor,condition,num_messages,user_finish_id,user_id
1,round 1,Alireza,000cb68e-8d89-4108-8b5b-4e1524c60e0c::2,That was directly a life threatening post,Type of offensiveness,Threats of violence,span,0,41,That was directly a life threatening post,,Mon Sep 07 2026 19:02:46 GMT+0000 (Coordinated Universal Time),2,4.64,12.153,Suspend,41235,0.75,control,1,427270,000cb68e-8d89-4108-8b5b-4e1524c60e0c
1,round 1,Alireza,00fad48d-a853-4fff-bab7-288ea51031f0::1,F-slur,Type of offensiveness,Hate speech and offensive language,unit,,,,,Mon Sep 07 2026 18:43:45 GMT+0000 (Coordinated Universal Time),1,5,2.887,Suspend,43251,1,control,1,c01d0c,00fad48d-a853-4fff-bab7-288ea51031f0
1,round 1,Alireza,00fad48d-a853-4fff-bab7-288ea51031f0::5,No reason to suspend,Type of offensiveness,No offensive content,span,0,20,No reason to suspend,,Tue Sep 01 2026 01:36:21 GMT+0000 (Coordinated Universal Time),5,5,4.118,Do not suspend,43251,0,control,6,c01d0c,00fad48d-a853-4fff-bab7-288ea51031f0
1,round 1,Alireza,01aad1a0-5ec4-4a9b-a571-a2880a1476be::2,Death threats.,Type of offensiveness,Death wish,span,0,14,Death threats.,,Tue Sep 01 2026 01:49:42 GMT+0000 (Coordinated Universal Time),2,5,3.582,Suspend,15432,0.75,ai,1,2d2113,01aad1a0-5ec4-4a9b-a571-a2880a1476be
1,round 1,Alireza,01aad1a0-5ec4-4a9b-a571-a2880a1476be::4,Nothing offensive. The user is just expressing positive emotions. The first message wasn't offensive-- they are setting boundaries.,Type of offensiveness,No offensive content,span,0,17,Nothing offensive,,Mon Sep 07 2026 18:42:05 GMT+0000 (Coordinated Universal Time),4,5,8.859,Do not suspend,15432,0.25,ai,2,2d2113,01aad1a0-5ec4-4a9b-a571-a2880a1476be
1,round 1,Alireza,01aad1a0-5ec4-4a9b-a571-a2880a1476be::4,Nothing offensive. The user is just expressing positive emotions. The first message wasn't offensive-- they are setting boundaries.,,positive content,span,19,65,The user is just expressing positive emotions.,,Mon Sep 07 2026 18:43:17 GMT+0000 (Coordinated Universal Time),4,5,8.859,Do not suspend,15432,0.25,ai,2,2d2113,01aad1a0-5ec4-4a9b-a571-a2880a1476be
1,round 1,Alireza,026448b8-5620-4d5c-9b2e-863b792e9fbf::2,this means to harm a person,Type of offensiveness,Harm other person,unit,,,,,Sun Sep 06 2026 19:14:05 GMT+0000 (Coordinated Universal Time),2,4.3,5.464,Suspend,43152,0.75,control,1,501ec1,026448b8-5620-4d5c-9b2e-863b792e9fbf
1,round 1,Alireza,026448b8-5620-4d5c-9b2e-863b792e9fbf::2,this means to harm a person,Type of offensiveness,Threats of violence,span,0,27,this means to harm a person,,Sun Sep 06 2026 19:14:04 GMT+0000 (Coordinated Universal Time),2,4.3,5.464,Suspend,43152,0.75,control,1,501ec1,026448b8-5620-4d5c-9b2e-863b792e9fbf
1,round 1,Alireza,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Patterns of behavior,one message is enough (offensive),span,0,80,This account is a case of one message being enough to suspend the entire account,,Mon Sep 07 2026 19:00:43 GMT+0000 (Coordinated Universal Time),4,5,3.164,Suspend,31254,0.25,crowd,3,125708,043d2678-387c-463e-8ec8-0bb3314063b9
1,round 1,Alireza,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Type of offensiveness,Threats of violence,span,82,116,They made a threat towards someone,,Mon Sep 07 2026 19:01:05 GMT+0000 (Coordinated Universal Time),4,5,3.164,Suspend,31254,0.25,crowd,3,125708,043d2678-387c-463e-8ec8-0bb3314063b9
1,round 1,Alireza,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Type of offensiveness,derogatory remarks,span,121,159,used derogatory language towards them.,,Mon Sep 07 2026 19:01:10 GMT+0000 (Coordinated Universal Time),4,5,3.164,Suspend,31254,0.25,crowd,3,125708,043d2678-387c-463e-8ec8-0bb3314063b9
1,round 1,Alireza,043d2678-387c-463e-8ec8-0bb3314063b9::4,"This account is a case of one message being enough to suspend the entire account. They made a threat towards someone and used derogatory language towards them. In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",Patterns of behavior,one message is enough (offensive),span,160,248,"In my opinion, that shouldn't be tolerated or given a slap on the wrist on any platform.",,Mon Sep 07 2026 19:01:26 GMT+0000 (Coordinated Universal Time),4,5,3.164,Suspend,31254,0.25,crowd,3,125708,043d2678-387c-463e-8ec8-0bb3314063b9
1,round 1,Alireza,05c044b6-fa17-4dae-b49b-5a2f9a9b0fc5::5,"After reading several comments on this account I did not find any that were offensive, so I am not considering suspending it.",Type of offensiveness,No offensive content,span,0,85,After reading several comments on this account I did not find any that were offensive,,Tue Sep 01 2026 01:22:32 GMT+0000 (Coordinated Universal Time),5,5,3.736,Do not suspend,32541,0,control,5,cdc2a5,05c044b6-fa17-4dae-b49b-5a2f9a9b0fc5
1,round 1,Alireza,061fa554-a6f7-4f7a-80ec-711db5c38a4c::3,more often than not comments from this account featured hate speech,Patterns of behavior,Majority offesnive,span,0,46,more often than not comments from this account,,Sun Sep 06 2026 17:22:31 GMT+0000 (Coordinated Universal Time),3,4.49,3.619,Suspend,24153,0.5,ai,5,93d00c,061fa554-a6f7-4f7a-80ec-711db5c38a4c
1,round 1,Alireza,061fa554-a6f7-4f7a-80ec-711db5c38a4c::3,more often than not comments from this account featured hate speech,Type of offensiveness,Hate speech and offensive language,span,47,67,featured hate speech,,Sun Sep 06 2026 17:22:22 GMT+0000 (Coordinated Universal Time),3,4.49,3.619,Suspend,24153,0.5,ai,5,93d00c,061fa554-a6f7-4f7a-80ec-711db5c38a4c
1,round 1,Alireza,06cb34a4-d264-4c9b-a8e5-170e31e8c92d::2,They want to harm someone,Type of offensiveness,Threats of violence,span,0,25,They want to harm someone,,Sun Sep 06 2026 17:25:30 GMT+0000 (Coordinated Universal Time),2,3.98,6.821,Suspend,51324,0.75,crowd,1,1f09d1,06cb34a4-d264-4c9b-a8e5-170e31e8c92d
1,round 1,Alireza,06e8469e-271d-4f06-8019-e49e17f01c6b::2,Bring people down by name calling then telling people they want to kill someone. This person needs to be on some type of watch list if not in some mental health rehab.,Type of offensiveness,Death wish,span,26,79,calling then telling people they want to kill someone,,Tue Sep 01 2026 01:27:37 GMT+0000 (Coordinated Universal Time),2,5,4.608,Suspend,43512,0.75,control,4,ccc64c,06e8469e-271d-4f06-8019-e49e17f01c6b
1,round 1,Alireza,06e8469e-271d-4f06-8019-e49e17f01c6b::2,Bring people down by name calling then telling people they want to kill someone. This person needs to be on some type of watch list if not in some mental health rehab.,Decision outcomes,Consequences beyond suspencion,span,81,167,This person needs to be on some type of watch list if not in some mental health rehab.,,Tue Sep 01 2026 01:28:26 GMT+0000 (Coordinated Universal Time),2,5,4.608,Suspend,43512,0.75,control,4,ccc64c,06e8469e-271d-4f06-8019-e49e17f01c6b
1,round 1,Alireza,085d298b-177c-4887-9819-8f10cad90ff4::2,This is a threat and should be taken seriously. I would probably call the police. People need to learn they cannot talk like this.,Type of offensiveness,Threats of violence,span,0,47,This is a threat and should be taken seriously.,,Mon Sep 07 2026 19:08:11 GMT+0000 (Coordinated Universal Time),2,4.98,4.044,Suspend,53214,0.75,control,1,1ef99f,085d298b-177c-4887-9819-8f10cad90ff4
1,round 1,Alireza,085d298b-177c-4887-9819-8f10cad90ff4::2,This is a threat and should be taken seriously. I would probably call the police. People need to learn they cannot talk like this.,Decision outcomes,Consequences beyond suspencion,span,48,130,I would probably call the police. People need to learn they cannot talk like this.,,Mon Sep 07 2026 19:08:23 GMT+0000 (Coordinated Universal Time),2,4.98,4.044,Suspend,53214,0.75,control,1,1ef99f,085d298b-177c-4887-9819-8f10cad90ff4
1,round 1,Alireza,0860c28d-eaaa-48ea-bd88-a46b9da590f5::2,Glorifying violence. Easy ban.,Type of offensiveness,Threats of violence,span,0,19,Glorifying violence,,Tue Sep 01 2026 01:36:13 GMT+0000 (Coordinated Universal Time),2,5,3.831,Suspend,34125,0.75,control,1,3e6cb4,0860c28d-eaaa-48ea-bd88-a46b9da590f5
1,round 1,Alireza,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Death wish,unit,,,,,Tue Sep 01 2026 02:27:59 GMT+0000 (Coordinated Universal Time),2,5,4.525,Suspend,12345,0.75,crowd,5,36a702,08ef00b7-726c-4aab-a082-e05e6afa8d42
1,round 1,Alireza,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Hate speech and offensive language,span,0,10,Used slurs,,Tue Sep 01 2026 02:27:52 GMT+0000 (Coordinated Universal Time),2,5,4.525,Suspend,12345,0.75,crowd,5,36a702,08ef00b7-726c-4aab-a082-e05e6afa8d42
1,round 1,Alireza,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Threats of violence,span,12,60,threatened people with shooting them in the head,,Tue Sep 01 2026 02:27:57 GMT+0000 (Coordinated Universal Time),2,5,4.525,Suspend,12345,0.75,crowd,5,36a702,08ef00b7-726c-4aab-a082-e05e6afa8d42
1,round 1,Alireza,08ef00b7-726c-4aab-a082-e05e6afa8d42::2,"Used slurs, threatened people with shooting them in the head. I think that's quite enough to suspend, to be honest. Literal death threats.",Type of offensiveness,Death wish,span,116,138,Literal death threats.,,Tue Sep 01 2026 02:28:05 GMT+0000 (Coordinated Universal Time),2,5,4.525,Suspend,12345,0.75,crowd,5,36a702,08ef00b7-726c-4aab-a082-e05e6afa8d42
1,round 1,Alireza,0c73444e-3aa6-4262-a969-968101a66c75::3,"Offending words, also discrimination should not be tolerated.",Type of offensiveness,Hate speech and offensive language,span,0,61,"Offending words, also discrimination should not be tolerated.",,Sun Sep 06 2026 19:07:46 GMT+0000 (Coordinated Universal Time),3,3.23,3.874,Suspend,14325,0.5,ai,5,8fd6ea,0c73444e-3aa6-4262-a969-968101a66c75
1,round 1,Alireza,0c73444e-3aa6-4262-a969-968101a66c75::4,"There was one message that was offensive, but overall this person does not seem to have bad intentions.",Patterns of behavior,One-off offensive,span,0,40,There was one message that was offensive,,Tue Sep 01 2026 01:24:22 GMT+0000 (Coordinated Universal Time),4,4.02,3.912,Do not suspend,14325,0.25,ai,5,8fd6ea,0c73444e-3aa6-4262-a969-968101a66c75
1,round 1,Alireza,0c73444e-3aa6-4262-a969-968101a66c75::4,"There was one message that was offensive, but overall this person does not seem to have bad intentions.",Justifications,Appeal to intent,span,42,103,but overall this person does not seem to have bad intentions.,,Tue Sep 01 2026 01:24:26 GMT+0000 (Coordinated Universal Time),4,4.02,3.912,Do not suspend,14325,0.25,ai,5,8fd6ea,0c73444e-3aa6-4262-a969-968101a66c75
1,round 1,Alireza,11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Type of offensiveness,Death wish,span,0,49,This person was wishing death on multiple beings.,,Sun Sep 06 2026 19:06:55 GMT+0000 (Coordinated Universal Time),1,5,5.988,Suspend,14352,1,crowd,4,3485c5,11e61552-c9e7-4fed-af65-15046c58d52f
1,round 1,Alireza,11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Type of offensiveness,Hate speech and offensive language,span,51,132,hey were also using slurs on multiple occasions and coming after multiple people.,,Sun Sep 06 2026 19:06:59 GMT+0000 (Coordinated Universal Time),1,5,5.988,Suspend,14352,1,crowd,4,3485c5,11e61552-c9e7-4fed-af65-15046c58d52f
1,round 1,Alireza,11e61552-c9e7-4fed-af65-15046c58d52f::1,This person was wishing death on multiple beings. They were also using slurs on multiple occasions and coming after multiple people. They seemed violent and unstable and it kept going.,Type of offensiveness,Threats of violence,span,133,184,They seemed violent and unstable and it kept going.,,Sun Sep 06 2026 19:07:02 GMT+0000 (Coordinated Universal Time),1,5,5.988,Suspend,14352,1,crowd,4,3485c5,11e61552-c9e7-4fed-af65-15046c58d52f
1,round 1,Alireza,147e86b7-9d82-4fa6-8053-79beb1fb042e::1,"shows a clear insult to other people, for this problem your account will be suspended for a period of time",Type of offensiveness,Hate speech and offensive language,span,0,37,"shows a clear insult to other people,",,Sun Sep 06 2026 19:11:02 GMT+0000 (Coordinated Universal Time),1,5,2.342,Suspend,35124,1,ai,1,2ddaaa,147e86b7-9d82-4fa6-8053-79beb1fb042e
1,round 1,Alireza,15ca9f16-8eb2-4934-908f-c8131460b85b::2,This person seemed like an angry punk and was directing vicious threats at other members. Not acceptable.,Justifications,Poster is a bad person,span,19,37,like an angry punk,,Sun Sep 06 2026 19:09:28 GMT+0000 (Coordinated Universal Time),2,5,3.112,Suspend,41253,0.75,crowd,2,8e05b4,15ca9f16-8eb2-4934-908f-c8131460b85b
1,round 1,Alireza,15ca9f16-8eb2-4934-908f-c8131460b85b::2,This person seemed like an angry punk and was directing vicious threats at other members. Not acceptable.,Type of offensiveness,Threats of violence,span,56,89,vicious threats at other members.,,Sun Sep 06 2026 19:09:22 GMT+0000 (Coordinated Universal Time),2,5,3.112,Suspend,41253,0.75,crowd,2,8e05b4,15ca9f16-8eb2-4934-908f-c8131460b85b
1,round 1,Alireza,17bc2b94-f557-4770-bec1-ab1715b8678d::3,Name calling and close minded posts that add no value to any conversation.,Type of offensiveness,Hate speech and offensive language,span,0,35,Name calling and close minded posts,,Mon Sep 07 2026 19:04:28 GMT+0000 (Coordinated Universal Time),3,5,3.471,Suspend,15324,0.5,control,1,5e24c2,17bc2b94-f557-4770-bec1-ab1715b8678d
1,round 1,Alireza,17bc2b94-f557-4770-bec1-ab1715b8678d::5,A thoughtful person aware and co siderate of others.,Positive content,Calm and thoughtful,span,0,52,A thoughtful person aware and co siderate of others.,,Tue Sep 01 2026 02:39:23 GMT+0000 (Coordinated Universal Time),5,5,4.086,Do not suspend,15324,0,control,2,5e24c2,17bc2b94-f557-4770-bec1-ab1715b8678d
1,round 1,Alireza,19957cb7-91aa-4873-a122-ac2789b4260d::2,Ver negative comment,Type of offensiveness,Hate speech and offensive language,unit,,,,,Sun Sep 06 2026 19:03:46 GMT+0000 (Coordinated Universal Time),2,4.48,4.112,Suspend,52314,0.75,ai,1,5.77E+02,19957cb7-91aa-4873-a122-ac2789b4260d
1,round 1,Alireza,1bc0fc0a-0cf5-4c30-8056-53bc860179f0::3,2 of the 3 messages were offensive.,Patterns of behavior,Majority offesnive,unit,,,,,Mon Sep 07 2026 19:04:34 GMT+0000 (Coordinated Universal Time),3,4.93,5.836,Suspend,54123,0.5,ai,3,061f02,1bc0fc0a-0cf5-4c30-8056-53bc860179f0
